Step,North,East,South,West,SelectedGroup,YOLO_Total,Fused_Total,GreenTime
610,2,0,0,0,north,0,2,12
611,3,0,0,0,north,0,3,15
612,3,0,0,0,north,0,3,15
613,2,0,0,0,north,0,2,12
614,3,0,0,0,north,0,3,15
615,3,0,0,0,north,0,3,15
616,4,0,0,0,north,0,4,20
617,3,0,0,0,north,0,3,15
618,3,0,0,0,north,0,3,15
619,4,0,0,0,north,0,4,20
620,3,0,0,0,north,0,3,15
621,3,0,0,0,north,0,3,15
622,3,0,0,0,north,0,3,15
623,3,0,0,0,north,0,3,15
624,3,0,0,0,north,0,3,15
625,3,0,0,0,north,0,3,15
626,2,0,0,0,north,0,2,12
627,2,0,0,0,north,0,2,12
628,3,0,0,0,north,0,3,15
629,3,0,0,0,north,0,3,15
630,2,0,0,0,north,0,2,12
631,3,0,0,0,north,0,3,15
632,3,0,0,0,north,0,3,15
633,3,0,0,0,north,0,3,15
634,3,0,0,0,north,0,3,15
635,2,0,0,0,north,0,2,12
636,2,0,0,0,north,0,2,12
637,3,0,0,0,north,0,3,15
638,2,0,0,0,north,0,2,12
639,2,0,0,0,north,0,2,12
640,2,0,0,0,north,0,2,12
641,2,0,0,0,north,0,2,12
642,3,0,0,0,north,0,3,15
643,2,0,0,0,north,0,2,12
644,2,0,0,0,north,0,2,12
645,3,0,0,0,north,0,3,15
646,3,0,0,0,north,0,3,15
647,3,0,0,0,north,0,3,15
648,2,0,0,0,north,0,2,12
649,3,0,0,0,north,0,3,15
650,3,0,0,0,north,0,3,15
651,2,0,0,0,north,0,2,12
652,2,0,0,0,north,0,2,12
653,2,0,0,0,north,0,2,12
654,3,0,0,0,north,0,3,15
655,3,0,0,0,north,0,3,15
656,3,0,0,0,north,0,3,15
657,2,0,0,0,north,0,2,12
658,3,0,0,0,north,0,3,15
659,3,0,0,0,north,0,3,15
660,2,0,0,0,north,0,2,12
661,2,0,0,0,north,0,2,12
662,2,0,0,0,north,0,2,12
663,2,0,0,0,north,0,2,12
664,1,0,0,0,north,0,1,12
665,1,0,0,0,north,0,1,12
